time,price
2021-03-14 14:34:43,4535100.0
2021-03-14 14:34:46,4535100.0
2021-03-14 14:34:49,4534990.0
2021-03-14 14:34:52,4534990.0
2021-03-14 14:34:55,4534990.0
2021-03-14 14:35:34,4535185.0
2021-03-14 14:35:37,4535185.0
2021-03-14 14:35:40,4535185.0
2021-03-14 14:35:43,4535185.0
2021-03-14 14:35:46,4535185.0
2021-03-14 14:35:43,4535185.0
2021-03-14 14:35:49,4535185.0
2021-03-14 14:35:52,4537000.0
2021-03-14 14:35:55,4537000.0
2021-03-14 14:35:58,4538640.0
2021-03-14 14:35:55,4537000.0
2021-03-14 14:35:58,4538640.0
2021-03-14 14:36:01,4538186.0
2021-03-14 14:36:04,4538186.0
2021-03-14 14:36:07,4538186.0
2021-03-14 14:36:09,4538640.0
2021-03-14 14:36:12,4538640.0
2021-03-14 14:36:15,4538640.0
2021-03-14 14:36:18,4538640.0
2021-03-14 14:36:21,4538000.0
2021-03-14 14:36:24,4538000.0
2021-03-14 14:36:27,4538640.0
2021-03-14 14:38:13,4540000.0
2021-03-14 14:38:16,4540000.0
2021-03-14 14:38:19,4540000.0
2021-03-14 14:38:22,4540000.0
2021-03-14 14:38:25,4540000.0
2021-03-14 14:38:28,4540000.0
2021-03-14 14:38:31,4540000.0
2021-03-14 14:38:34,4540000.0
2021-03-14 14:38:37,4540000.0
2021-03-14 14:38:40,4540000.0
2021-03-14 14:38:43,4539990.0
2021-03-14 14:38:46,4539990.0
2021-03-14 14:38:52,4540999.0
2021-03-14 14:38:55,4540999.0
2021-03-14 14:38:58,4540000.0
2021-03-14 14:39:01,4540999.0
2021-03-14 14:39:04,4540999.0
2021-03-14 14:39:06,4540999.0
2021-03-14 14:39:09,4540999.0
2021-03-14 14:39:12,4540999.0
2021-03-14 14:39:15,4540999.0
2021-03-14 14:39:21,4540999.0
2021-03-14 14:39:24,4540999.0
2021-03-14 14:39:27,4540999.0
2021-03-14 14:39:30,4540999.0
2021-03-14 14:39:33,4540999.0
2021-03-14 14:39:36,4544914.0
2021-03-14 14:39:39,4544004.0
2021-03-14 14:39:42,4544004.0
2021-03-14 14:39:45,4544004.0
2021-03-14 14:39:48,4544004.0
2021-03-14 14:39:57,4543094.0
2021-03-14 14:40:03,4543094.0
2021-03-14 14:40:06,4543094.0
2021-03-14 14:40:09,4543094.0
2021-03-14 14:40:12,4543094.0
2021-03-14 14:40:15,4543094.0
2021-03-14 14:40:21,4543094.0
2021-03-14 14:40:24,4543090.0
2021-03-14 14:40:27,4543090.0
2021-03-14 14:40:30,4543090.0
2021-03-14 14:40:33,4543090.0
2021-03-14 14:40:39,4543090.0
2021-03-14 14:40:41,4543090.0
2021-03-14 14:40:44,4542636.0
2021-03-14 14:40:47,4542636.0
2021-03-14 14:40:50,4543090.0
2021-03-14 14:40:53,4543090.0
